lat,lon,temperature,humidity,pressure,wind_speed,aqi,State,Avg_Temperature (°C),Avg_Rainfall (mm),Avg_Radiation (kWh/m²/day),Avg_Humidity (%),Avg_Wind Speed (m/s),pH,Organic Carbon (%),Nitrogen (%),Bulk Density (g/cm�),Cation Exchange (cmol/kg),Sand (%),Silt (%),Clay (%),Crop
12.3927,94.4483,28.14,78,1007,6.75,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
14.1739,94.6808,28.59,77,1007,6.34,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
14.7824,94.6486,28.19,78,1007,5.17,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
13.7623,90.2579,28.4,81,1006,8.13,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
8.4848,94.6401,28.22,77,1008,6.31,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
17.2569,92.0739,28.18,76,1006,5.65,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
19.1296,96.6627,17.8,71,1008,0.88,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
13.149,94.4548,28.59,76,1007,6.78,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
14.2414,92.085,28.35,79,1007,8.2,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
11.9878,91.3613,28.4,78,1007,7.35,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
12.2478,94.0241,27.94,79,1007,6.66,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
18.4567,92.9248,27.27,76,1007,3.43,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
9.6126,96.7043,28.75,75,1007,6.08,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
17.7863,95.5347,27.06,66,1007,2.09,2,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
16.5023,92.0808,27.68,81,1006,6.24,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
19.2269,96.7843,21.03,76,1009,0.61,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
15.4695,94.2147,28.11,78,1007,5.77,1,Andaman and Nicobar Islands,28.06,6.17,18.12,80.31,4.94,6.4,1.6,0.08,1.3,22,42,36,22,Rice
